line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   39.980766  5.329126  4.635198  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6229  4.635198   -6.313  0.510098  7.609613  7.1693170E-01  2.6878710E-01  7.2833995E-05  1.4383828E-05  3.8953893E-03  4.9883637E-03  1.1723374E-05  2.3154418E-07  1.8759621E-03  7.8048418E-05  3.504E-06  5.310E-05  5.263E-05  9.484E-01  1.067E+00  7.98E+02  1.11E+03  3.14E+02  0.559624  0.141101  0.0000000E+00  1.1255091793E+00       4.235     7.99   -8.5728   -4.5911   -1.1791   -0.3450   -0.1486   -0.4360   -0.2333   -0.0374   -0.9845   -0.0774   -0.3025    0.3731         1   -3.9817
  2  9.410652807842182E+04   39.933271  5.335517  4.636538  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6150  4.636538   -6.294  0.511063  7.610387  7.0843180E-01  2.7746150E-01  4.2501700E-05  1.1637953E-05  5.2092585E-03  3.5338794E-03  8.4474519E-06  1.1141064E-08  1.8737386E-03  1.4126210E-05  1.085E-05  4.670E-05  5.364E-05  9.604E-01  1.051E+00  7.94E+02  1.10E+03  2.74E+02  0.496664  0.143363  0.0000000E+00  1.1153023909E+00       4.226     8.06   -8.5888   -4.5963   -1.1794   -0.3454   -0.1486   -0.4364   -0.2337   -0.0374   -0.9861   -0.0775   -0.3027    0.3734         1   -3.9925
  3  1.852788401837127E+05   39.886455  5.339421  4.634186  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707438E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  3.888E-17  0.6126  4.634186   -6.285  0.502042  7.607881  7.0011420E-01  2.8588640E-01  4.8845788E-05  1.3311571E-05  5.9476917E-03  2.6813091E-03  6.4389629E-06  1.1274616E-08  1.8719888E-03  4.1898284E-06  1.527E-05  4.550E-05  5.236E-05  9.606E-01  1.050E+00  7.87E+02  1.09E+03  2.71E+02  0.495491  0.144828  0.0000000E+00  1.1054384861E+00       4.212     8.19   -8.5986   -4.6222   -1.1790   -0.3447   -0.1485   -0.4358   -0.2331   -0.0373   -0.9837   -0.0774   -0.3023    0.3729         1   -3.9763
  4  2.763249541612778E+05   39.838755  5.343508  4.632655  7.2000000E-01  2.6595590E-01  2.2831523E-03  2.7707539E-05  6.5875807E-04  5.7184752E-03  2.2656014E-06  1.2899740E-05  1.8768898E-03  1.5180834E-04  3.036E-14  0.6101  4.632655   -6.276  0.497154  7.606744  6.9175350E-01  2.9431990E-01  5.2279891E-05  1.4264412E-05  6.4505922E-03  2.1019821E-03  5.1860016E-06  8.9590379E-09  1.8704217E-03  1.9986974E-06  1.821E-05  4.420E-05  5.143E-05  9.613E-01  1.050E+00  7.82E+02  1.08E+03  2.66E+02  0.491506  0.146372  0.0000000E+00  1.0954194379E+00       4.201     8.29   -8.6088   -4.6428   -1.1787   -0.3442   -0.1483   -0.4354   -0.2328   -0.0373   -0.9822   -0.0773   -0.3021    0.3725         1   -3.9660
  5  3.682666036861651E+05   39.789553  5.347703  4.631309  7.2000000E-01  2.6595590E-01  2.2831503E-03  2.7708628E-05  6.5875976E-04  5.7184748E-03  2.2656063E-06  1.2899733E-05  1.8768898E-03  1.5180830E-04  1.265E-12  0.6077  4.631309   -6.267  0.493849  7.606140  6.8336850E-01  3.0275720E-01  5.5168196E-05  1.5052620E-05  6.8102426E-03  1.6870810E-03  4.1670792E-06  8.0209976E-09  1.8689608E-03  1.5314409E-06  2.018E-05  4.340E-05  5.060E-05  9.614E-01  1.049E+00  7.77E+02  1.08E+03  2.64E+02  0.490574  0.147976  0.0000000E+00  1.0850833942E+00       4.191     8.38   -8.6193   -4.6623   -1.1785   -0.3438   -0.1482   -0.4351   -0.2324   -0.0372   -0.9808   -0.0772   -0.3019    0.3722         1   -3.9570
  6  4.602082532110508E+05   39.739248  5.351959  4.630063  7.2000000E-01  2.6595590E-01  2.2831304E-03  2.7714747E-05  6.5878112E-04  5.7184701E-03  2.2656680E-06  1.2899643E-05  1.8768898E-03  1.5180782E-04  1.604E-11  0.6055  4.630063   -6.257  0.491586  7.605881  6.7497810E-01  3.1118650E-01  5.7495527E-05  1.5697270E-05  7.0774582E-03  1.3785369E-03  3.3711756E-06  6.9135101E-09  1.8675679E-03  1.4077238E-06  2.148E-05  4.300E-05  4.982E-05  9.604E-01  1.048E+00  7.73E+02  1.07E+03  2.66E+02  0.496306  0.149622  0.0000000E+00  1.0744852234E+00       4.182     8.46   -8.6299   -4.6813   -1.1782   -0.3434   -0.1481   -0.4347   -0.2321   -0.0372   -0.9795   -0.0771   -0.3016    0.3720         1   -3.9486
  7  5.513303170769125E+05   39.688256  5.356252  4.628986  7.1999990E-01  2.6595600E-01  2.2830351E-03  2.7734791E-05  6.5889585E-04  5.7184438E-03  2.2659966E-06  1.2899174E-05  1.8768898E-03  1.5180520E-04  9.017E-11  0.6034  4.628986   -6.247  0.490070  7.605866  6.6664180E-01  3.1955210E-01  5.9354174E-05  1.6212139E-05  7.2791860E-03  1.1454311E-03  2.7781926E-06  5.9702183E-09  1.8662297E-03  1.3763469E-06  2.230E-05  4.230E-05  4.912E-05  9.605E-01  1.049E+00  7.68E+02  1.06E+03  2.64E+02  0.495951  0.151303  0.0000000E+00  1.0637121693E+00       4.172     8.55   -8.6406   -4.6991   -1.1780   -0.3431   -0.1480   -0.4345   -0.2319   -0.0371   -0.9785   -0.0770   -0.3014    0.3717         1   -3.9415
  8  6.426800365910835E+05   39.635949  5.360675  4.628141  7.1999940E-01  2.6595640E-01  2.2826948E-03  2.7789008E-05  6.5933048E-04  5.7183401E-03  2.2672174E-06  1.2897439E-05  1.8768896E-03  1.5179507E-04  3.565E-10  0.6015  4.628141   -6.238  0.489244  7.606080  6.5828960E-01  3.2792680E-01  6.0390934E-05  1.6494368E-05  7.4355076E-03  9.6544861E-04  2.3470256E-06  5.6002547E-09  1.8649213E-03  1.3881196E-06  2.274E-05  4.150E-05  4.846E-05  9.608E-01  1.048E+00  7.64E+02  1.06E+03  2.62E+02  0.494374  0.153053  0.0000000E+00  1.0526126200E+00       4.164     8.63   -8.6517   -4.7156   -1.1778   -0.3428   -0.1480   -0.4342   -0.2317   -0.0371   -0.9776   -0.0770   -0.3013    0.3715         1   -3.9361
  9  7.339253247626397E+05   39.582473  5.365169  4.627196  7.1999820E-01  2.6595760E-01  2.2818506E-03  2.7900048E-05  6.6045449E-04  5.7180564E-03  2.2702773E-06  1.2893049E-05  1.8768893E-03  1.5176832E-04  1.021E-09  0.5997  4.627196   -6.227  0.488512  7.606329  6.4991150E-01  3.3632260E-01  6.1717810E-05  1.6869385E-05  7.5571889E-03  8.2450290E-04  1.9715029E-06  4.9108868E-09  1.8636312E-03  1.4022732E-06  2.291E-05  4.060E-05  4.780E-05  9.617E-01  1.049E+00  7.60E+02  1.05E+03  2.58E+02  0.489102  0.154854  0.0000000E+00  1.0412365750E+00       4.155     8.72   -8.6629   -4.7330   -1.1776   -0.3425   -0.1479   -0.4340   -0.2315   -0.0371   -0.9767   -0.0769   -0.3011    0.3713         1   -3.9299
