line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00  119.813079  6.222139  4.714977  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8234  4.714977   -5.014  0.252798  7.662288  7.1698010E-01  2.6874880E-01  4.7941855E-05  1.2885800E-05  4.0128592E-03  4.8931656E-03  7.6652744E-06  4.0151423E-08  1.8756041E-03  1.0214446E-04  3.978E-06  3.370E-05  3.221E-05  9.487E-01  1.087E+00  9.92E+02  1.18E+03  3.89E+02  0.558061  0.368037  0.0000000E+00  6.7984755229E+00       4.137    15.47  -10.8053   -6.2143   -1.2014   -0.3705   -0.1602   -0.4707   -0.2513   -0.0411   -1.0613   -0.0873   -0.3260    0.4022         1   -4.5911
  2  4.515999017005442E+04  119.382456  6.223191  4.713729  7.2000000E-01  2.6595590E-01  2.2831523E-03  2.7707487E-05  6.5875816E-04  5.7184752E-03  2.2656016E-06  1.2899739E-05  1.8768898E-03  1.5180834E-04  1.097E-14  0.8200  4.713729   -5.017  0.235218  7.656456  7.0932530E-01  2.7658590E-01  5.3536553E-05  1.4641987E-05  5.2969152E-03  3.4182422E-03  5.3333335E-06  1.2193435E-08  1.8728332E-03  4.0224255E-05  1.187E-05  2.860E-05  3.086E-05  9.630E-01  1.064E+00  9.82E+02  1.17E+03  3.27E+02  0.481341  0.370260  0.0000000E+00  6.5829811373E+00       4.121    15.73  -10.8080   -6.2244   -1.2012   -0.3702   -0.1601   -0.4703   -0.2511   -0.0410   -1.0605   -0.0872   -0.3257    0.4019         1   -4.5836
  3  8.977102867266104E+04  118.949011  6.224384  4.710847  7.1999930E-01  2.6595650E-01  2.2825272E-03  2.7766438E-05  6.5958632E-04  5.7182936E-03  2.2668984E-06  1.2895600E-05  1.8768895E-03  1.5179767E-04  8.154E-10  0.8177  4.710847   -5.009  0.226338  7.653499  7.0171710E-01  2.8430140E-01  6.0922842E-05  1.6696610E-05  6.0378458E-03  2.5603479E-03  3.9773733E-06  8.9326251E-09  1.8706726E-03  1.9120063E-05  1.704E-05  2.780E-05  2.959E-05  9.629E-01  1.060E+00  9.74E+02  1.16E+03  3.25E+02  0.481900  0.372631  0.0000000E+00  6.3713696956E+00       4.107    15.96  -10.8110   -6.2476   -1.2003   -0.3694   -0.1596   -0.4689   -0.2506   -0.0409   -1.0584   -0.0868   -0.3247    0.4007         1   -4.5633
  4  1.349677067503100E+05  118.502133  6.225867  4.708973  7.1996880E-01  2.6598550E-01  2.2656246E-03  2.8314029E-05  6.8560813E-04  5.7105059E-03  2.3012437E-06  1.2792510E-05  1.8768770E-03  1.5135854E-04  3.489E-08  0.8160  4.708973   -5.002  0.221768  7.651969  6.9409120E-01  2.9199930E-01  6.5198201E-05  1.7889108E-05  6.5350940E-03  1.9856871E-03  3.1254167E-06  7.0936575E-09  1.8687651E-03  1.0721687E-05  2.079E-05  2.660E-05  2.853E-05  9.646E-01  1.056E+00  9.66E+02  1.15E+03  3.15E+02  0.471270  0.375309  0.0000000E+00  6.1567501990E+00       4.095    16.14  -10.8147   -6.2645   -1.1997   -0.3689   -0.1592   -0.4679   -0.2503   -0.0408   -1.0570   -0.0865   -0.3241    0.3999         1   -4.5501
  5  1.805204440067350E+05  118.044298  6.227462  4.707307  7.1981490E-01  2.6613510E-01  2.2037547E-03  2.9148794E-05  7.8976119E-04  5.6732517E-03  2.4184188E-06  1.2425092E-05  1.8768150E-03  1.4935496E-04  1.936E-07  0.8148  4.707307   -4.995  0.219000  7.651034  6.8646090E-01  2.9968080E-01  6.9020472E-05  1.8951246E-05  6.8869656E-03  1.5777664E-03  2.4566544E-06  5.6238886E-09  1.8669996E-03  7.1243187E-06  2.359E-05  2.570E-05  2.755E-05  9.660E-01  1.055E+00  9.59E+02  1.14E+03  3.06E+02  0.462815  0.378118  0.0000000E+00  5.9410845531E+00       4.085    16.31  -10.8187   -6.2802   -1.1992   -0.3684   -0.1589   -0.4671   -0.2500   -0.0408   -1.0558   -0.0863   -0.3235    0.3992         1   -4.5384
  6  2.265314774850568E+05  117.574117  6.229172  4.705972  7.1942750E-01  2.6651720E-01  2.0965982E-03  2.9626138E-05  9.8864965E-04  5.5887865E-03  2.5962416E-06  1.1796663E-05  1.8766674E-03  1.4512338E-04  5.477E-07  0.8141  4.705972   -4.987  0.217644  7.650565  6.7881240E-01  3.0736700E-01  7.1628063E-05  1.9686725E-05  7.1467625E-03  1.2769137E-03  1.9834569E-06  4.3346773E-09  1.8653195E-03  5.4832592E-06  2.571E-05  2.480E-05  2.663E-05  9.675E-01  1.053E+00  9.53E+02  1.13E+03  2.98E+02  0.453474  0.381041  0.0000000E+00  5.7235675098E+00       4.075    16.46  -10.8229   -6.2938   -1.1988   -0.3680   -0.1587   -0.4664   -0.2498   -0.0407   -1.0548   -0.0861   -0.3231    0.3986         1   -4.5292
  7  2.723877253236489E+05  117.098106  6.230956  4.704963  7.1869280E-01  2.6724920E-01  1.9617052E-03  2.9565812E-05  1.2682757E-03  5.4498668E-03  2.7751539E-06  1.1010428E-05  1.8764065E-03  1.3875881E-04  1.128E-06  0.8138  4.704963   -4.981  0.217234  7.650408  6.7120140E-01  3.1500630E-01  7.3630160E-05  2.0212406E-05  7.3419114E-03  1.0508944E-03  1.6336805E-06  3.9116184E-09  1.8637064E-03  4.6795481E-06  2.730E-05  2.400E-05  2.576E-05  9.689E-01  1.050E+00  9.47E+02  1.12E+03  2.89E+02  0.443832  0.384000  0.0000000E+00  5.5083922073E+00       4.067    16.59  -10.8274   -6.3051   -1.1985   -0.3677   -0.1585   -0.4659   -0.2497   -0.0407   -1.0541   -0.0859   -0.3227    0.3982         1   -4.5223
  8  3.185574831086103E+05  116.611456  6.232913  4.704224  7.1741670E-01  2.6852770E-01  1.8042245E-03  2.9078414E-05  1.6336221E-03  5.2437967E-03  2.9209168E-06  1.0094888E-05  1.8759858E-03  1.3017733E-04  1.993E-06  0.8138  4.704224   -4.974  0.217326  7.650413  6.6357860E-01  3.2265060E-01  7.4926141E-05  2.0579423E-05  7.4916448E-03  8.7783716E-04  1.3679004E-06  3.4014280E-09  1.8621328E-03  4.2851863E-06  2.848E-05  2.280E-05  2.490E-05  9.716E-01  1.049E+00  9.42E+02  1.11E+03  2.75E+02  0.425288  0.387057  0.0000000E+00  5.2936524427E+00       4.058    16.71  -10.8323   -6.3149   -1.1983   -0.3676   -0.1584   -0.4656   -0.2495   -0.0406   -1.0536   -0.0858   -0.3225    0.3980         1   -4.5174
  9  3.649481872507447E+05  116.115192  6.234840  4.703577  7.1546170E-01  2.7049120E-01  1.6364510E-03  2.8333964E-05  2.0662087E-03  4.9750437E-03  3.0036258E-06  9.1199727E-06  1.8753840E-03  1.1998671E-04  3.126E-06  0.8143  4.703577   -4.967  0.217617  7.650482  6.5593680E-01  3.3030940E-01  7.6865651E-05  2.1101198E-05  7.6070439E-03  7.4293532E-04  1.1410507E-06  2.8439869E-09  1.8605848E-03  4.0654503E-06  2.932E-05  2.220E-05  2.406E-05  9.727E-01  1.047E+00  9.37E+02  1.10E+03  2.68E+02  0.417279  0.389995  0.0000000E+00  5.0803127039E+00       4.051    16.81  -10.8371   -6.3240   -1.1982   -0.3674   -0.1583   -0.4653   -0.2494   -0.0406   -1.0532   -0.0858   -0.3223    0.3977         1   -4.5131
 10  4.115123564773481E+05  115.609918  6.236867  4.703346  7.1269480E-01  2.7327290E-01  1.4654451E-03  2.7475296E-05  2.5509855E-03  4.6511835E-03  3.0131709E-06  8.1255866E-06  1.8745836E-03  1.0874827E-04  4.498E-06  0.8151  4.703346   -4.962  0.218437  7.650722  6.4831970E-01  3.3793940E-01  7.7487559E-05  2.1289861E-05  7.6979587E-03  6.3811828E-04  9.8227864E-07  2.4969024E-09  1.8590645E-03  3.9535933E-06  2.989E-05  2.150E-05  2.324E-05  9.736E-01  1.043E+00  9.33E+02  1.09E+03  2.62E+02  0.410773  0.392897  0.0000000E+00  4.8690611261E+00       4.046    16.88  -10.8422   -6.3303   -1.1981   -0.3673   -0.1582   -0.4652   -0.2494   -0.0406   -1.0531   -0.0857   -0.3223    0.3976         1   -4.5118
 11  4.583981111445389E+05  115.094109  6.239026  4.703186  7.0917840E-01  2.7680890E-01  1.3028918E-03  2.6635177E-05  3.0507715E-03  4.2988850E-03  2.9550948E-06  7.1791464E-06  1.8736193E-03  9.7462546E-05  5.985E-06  0.8165  4.703186   -4.955  0.219230  7.650951  6.4069640E-01  3.4557310E-01  7.9129459E-05  2.1728753E-05  7.7681201E-03  5.5533650E-04  8.4027176E-07  2.1398899E-09  1.8575590E-03  3.8896518E-06  3.022E-05  2.080E-05  2.242E-05  9.751E-01  1.041E+00  9.29E+02  1.08E+03  2.54E+02  0.400071  0.395811  0.0000000E+00  4.6599604797E+00       4.040    16.95  -10.8476   -6.3365   -1.1981   -0.3673   -0.1582   -0.4652   -0.2494   -0.0406   -1.0530   -0.0857   -0.3222    0.3976         1   -4.5111
 12  5.057694274606542E+05  114.565790  6.241440  4.703441  7.0485990E-01  2.8115060E-01  1.1506936E-03  2.5864492E-05  3.5535066E-03  3.9293099E-03  2.8402778E-06  6.2915618E-06  1.8724909E-03  8.6470634E-05  7.540E-06  0.8185  4.703441   -4.950  0.220622  7.651378  6.3304840E-01  3.5322910E-01  7.9094010E-05  2.1740051E-05  7.8261195E-03  4.8917023E-04  7.4748749E-07  1.9880106E-09  1.8560603E-03  3.8449696E-06  3.036E-05  1.970E-05  2.163E-05  9.777E-01  1.039E+00  9.25E+02  1.08E+03  2.40E+02  0.379530  0.398843  0.0000000E+00  4.4529328522E+00       4.035    17.01  -10.8536   -6.3401   -1.1982   -0.3674   -0.1583   -0.4654   -0.2495   -0.0406   -1.0533   -0.0858   -0.3224    0.3978         1   -4.5135
 13  5.532127622712619E+05  114.029276  6.243894  4.703769  6.9957930E-01  2.8645770E-01  1.0062247E-03  2.5170231E-05  4.0614044E-03  3.5434300E-03  2.6776048E-06  5.4475399E-06  1.8711688E-03  7.5742504E-05  9.166E-06  0.8212  4.703769   -4.944  0.222150  7.651845  6.2543740E-01  3.6084660E-01  7.9638069E-05  2.1875773E-05  7.8722582E-03  4.3562323E-04  6.6608340E-07  1.7460929E-09  1.8545766E-03  3.7968092E-06  3.034E-05  1.920E-05  2.085E-05  9.783E-01  1.036E+00  9.22E+02  1.07E+03  2.35E+02  0.374444  0.401742  0.0000000E+00  4.2502518398E+00       4.032    17.04  -10.8597   -6.3435   -1.1984   -0.3675   -0.1584   -0.4656   -0.2495   -0.0406   -1.0537   -0.0858   -0.3225    0.3979         1   -4.5163
 14  6.005311751933803E+05  113.486835  6.246382  4.704255  6.9343950E-01  2.9262530E-01  8.7428344E-04  2.4582415E-05  4.5512230E-03  3.1613261E-03  2.4834338E-06  4.6752587E-06  1.8696891E-03  6.5750815E-05  1.077E-05  0.8240  4.704255   -4.938  0.223418  7.652222  6.1780530E-01  3.6848440E-01  8.0803478E-05  2.2190927E-05  7.9107565E-03  3.8975694E-04  5.8705347E-07  1.4965243E-09  1.8530933E-03  3.7225579E-06  3.020E-05  1.850E-05  2.008E-05  9.798E-01  1.034E+00  9.20E+02  1.06E+03  2.27E+02  0.362194  0.404514  0.0000000E+00  4.0528022419E+00       4.028    17.07  -10.8660   -6.3457   -1.1985   -0.3677   -0.1585   -0.4659   -0.2497   -0.0407   -1.0541   -0.0859   -0.3227    0.3982         1   -4.5203
 15  6.468475680866800E+05  112.949111  6.248722  4.705016  6.8651630E-01  2.9957630E-01  7.5586345E-04  2.4100145E-05  5.0118397E-03  2.7943660E-03  2.2722958E-06  3.9808631E-06  1.8680752E-03  5.6661900E-05  1.232E-05  0.8262  4.705016   -4.933  0.224947  7.652685  6.1017620E-01  3.7611840E-01  8.1159481E-05  2.2296299E-05  7.9457288E-03  3.4924174E-04  5.2513064E-07  1.3199434E-09  1.8516130E-03  3.6177673E-06  2.999E-05  1.780E-05  1.934E-05  9.812E-01  1.031E+00  9.17E+02  1.06E+03  2.18E+02  0.349150  0.406966  0.0000000E+00  3.8647880730E+00       4.026    17.07  -10.8718   -6.3456   -1.1988   -0.3680   -0.1586   -0.4664   -0.2498   -0.0407   -1.0548   -0.0861   -0.3230    0.3986         1   -4.5262
 16  6.920236573302908E+05  112.418730  6.250887  4.705906  6.7902570E-01  3.0709360E-01  6.5232524E-04  2.3718450E-05  5.4307862E-03  2.4549680E-03  2.0592644E-06  3.3726990E-06  1.8663776E-03  4.8641422E-05  1.373E-05  0.8278  4.705906   -4.928  0.226548  7.653182  6.0255460E-01  3.8374410E-01  8.1468004E-05  2.2385877E-05  7.9764150E-03  3.1370003E-04  4.7155853E-07  1.0568767E-09  1.8501365E-03  3.5154330E-06  2.973E-05  1.710E-05  1.864E-05  9.827E-01  1.029E+00  9.15E+02  1.06E+03  2.09E+02  0.336141  0.409104  0.0000000E+00  3.6869662760E+00       4.025    17.06  -10.8772   -6.3441   -1.1991   -0.3683   -0.1588   -0.4669   -0.2500   -0.0407   -1.0555   -0.0862   -0.3234    0.3990         1   -4.5331
 17  7.359325295845072E+05  111.898128  6.252786  4.706872  6.7113340E-01  3.1501070E-01  5.6259218E-04  2.3422561E-05  5.8061118E-03  2.1468138E-03  1.8531668E-06  2.8447652E-06  1.8646302E-03  4.1642794E-05  1.499E-05  0.8284  4.706872   -4.924  0.228037  7.653629  5.9492760E-01  3.9137480E-01  8.1802558E-05  2.2498087E-05  8.0034094E-03  2.8230993E-04  4.2336619E-07  9.1381605E-10  1.8486607E-03  3.4190667E-06  2.942E-05  1.620E-05  1.798E-05  9.846E-01  1.027E+00  9.14E+02  1.05E+03  1.97E+02  0.317803  0.410865  0.0000000E+00  3.5198836368E+00       4.023    17.04  -10.8820   -6.3414   -1.1995   -0.3686   -0.1590   -0.4674   -0.2502   -0.0408   -1.0564   -0.0864   -0.3238    0.3995         1   -4.5405
 18  7.793881370770416E+05  111.378246  6.254590  4.707834  6.6287080E-01  3.2329620E-01  4.8406263E-04  2.3194778E-05  6.1440713E-03  1.8662606E-03  1.6561297E-06  2.3820043E-06  1.8628354E-03  3.5482464E-05  1.611E-05  0.8288  4.707834   -4.920  0.229704  7.654132  5.8727620E-01  3.9902940E-01  8.2005026E-05  2.2556140E-05  8.0262988E-03  2.5584608E-04  3.8362230E-07  8.4253086E-10  1.8471829E-03  3.3593715E-06  2.905E-05  1.570E-05  1.733E-05  9.853E-01  1.024E+00  9.12E+02  1.05E+03  1.92E+02  0.310803  0.412454  0.0000000E+00  3.3601558193E+00       4.023    17.01  -10.8865   -6.3386   -1.1998   -0.3689   -0.1592   -0.4680   -0.2504   -0.0408   -1.0572   -0.0865   -0.3241    0.3999         1   -4.5478
 19  8.220666383961237E+05  110.863013  6.256405  4.708716  6.5464570E-01  3.3154190E-01  4.1772234E-04  2.3027539E-05  6.4367713E-03  1.6210092E-03  1.4770826E-06  1.9904847E-06  1.8610765E-03  3.0250865E-05  1.702E-05  0.8286  4.708716   -4.916  0.231398  7.654642  5.7967010E-01  4.0663800E-01  8.2502562E-05  2.2675047E-05  8.0448471E-03  2.3387050E-04  3.4924256E-07  7.4051607E-10  1.8457158E-03  3.3251586E-06  2.864E-05  1.510E-05  1.672E-05  9.868E-01  1.023E+00  9.11E+02  1.05E+03  1.81E+02  0.294801  0.414048  0.0000000E+00  3.2087771135E+00       4.022    16.99  -10.8910   -6.3364   -1.2001   -0.3692   -0.1594   -0.4685   -0.2505   -0.0409   -1.0579   -0.0867   -0.3245    0.4004         1   -4.5546
 20  8.649116841174826E+05  110.340809  6.258228  4.709559  6.4648440E-01  3.3972120E-01  3.6138618E-04  2.2906422E-05  6.6910731E-03  1.4061648E-03  1.3150451E-06  1.6575247E-06  1.8593542E-03  2.5785520E-05  1.774E-05  0.8295  4.709559   -4.912  0.233172  7.655174  5.7202760E-01  4.1428260E-01  8.2838624E-05  2.2760882E-05  8.0600203E-03  2.1600140E-04  3.2197105E-07  7.2244829E-10  1.8442434E-03  3.3184615E-06  2.817E-05  1.460E-05  1.612E-05  9.874E-01  1.021E+00  9.09E+02  1.04E+03  1.77E+02  0.287632  0.415698  0.0000000E+00  3.0620870000E+00       4.021    16.97  -10.8956   -6.3345   -1.2004   -0.3695   -0.1596   -0.4690   -0.2507   -0.0409   -1.0586   -0.0868   -0.3248    0.4008         1   -4.5611
 21  9.077633467867767E+05  109.812772  6.260258  4.710270  6.3858430E-01  3.4763700E-01  3.1485152E-04  2.2824849E-05  6.9059427E-03  1.2231856E-03  1.1728611E-06  1.3820722E-06  1.8577069E-03  2.2077970E-05  1.826E-05  0.8306  4.710270   -4.907  0.234920  7.655693  5.6441140E-01  4.2190030E-01  8.3000705E-05  2.2826645E-05  8.0723140E-03  2.0167505E-04  2.9958896E-07  6.6751093E-10  1.8427773E-03  3.3279364E-06  2.765E-05  1.400E-05  1.553E-05  9.884E-01  1.019E+00  9.07E+02  1.04E+03  1.69E+02  0.276577  0.417640  0.0000000E+00  2.9200073603E+00       4.019    16.97  -10.9006   -6.3340   -1.2007   -0.3697   -0.1598   -0.4694   -0.2508   -0.0410   -1.0592   -0.0870   -0.3251    0.4012         1   -4.5667
 22  9.516673652539462E+05  109.264717  6.262652  4.710917  6.3067930E-01  3.5555570E-01  2.7569209E-04  2.2773229E-05  7.0911665E-03  1.0641549E-03  1.0456163E-06  1.1498901E-06  1.8560774E-03  1.8941860E-05  1.862E-05  0.8334  4.710917   -4.901  0.236956  7.656302  5.5678290E-01  4.2952990E-01  8.2988508E-05  2.2829330E-05  8.0819029E-03  1.9074369E-04  2.8390000E-07  6.3813319E-10  1.8413097E-03  3.3577696E-06  2.706E-05  1.320E-05  1.495E-05  9.897E-01  1.018E+00  9.05E+02  1.03E+03  1.59E+02  0.260665  0.420016  0.0000000E+00  2.7787319897E+00       4.016    16.98  -10.9066   -6.3348   -1.2009   -0.3699   -0.1599   -0.4698   -0.2509   -0.0410   -1.0598   -0.0871   -0.3254    0.4015         1   -4.5718
 23  9.951858781074517E+05  108.713729  6.264961  4.711594  6.2275050E-01  3.6349640E-01  2.4331305E-04  2.2746969E-05  7.2483871E-03  9.2799740E-04  9.3342326E-07  9.5754030E-07  1.8544610E-03  1.6336086E-05  1.887E-05  0.8359  4.711594   -4.894  0.238877  7.656896  5.4915640E-01  4.3715750E-01  8.3501408E-05  2.2949863E-05  8.0896288E-03  1.8109698E-04  2.6793892E-07  5.9692272E-10  1.8398417E-03  3.3759179E-06  2.645E-05  1.290E-05  1.439E-05  9.901E-01  1.016E+00  9.02E+02  1.03E+03  1.55E+02  0.255680  0.422334  0.0000000E+00  2.6426493643E+00       4.014    16.97  -10.9124   -6.3356   -1.2011   -0.3701   -0.1601   -0.4702   -0.2511   -0.0410   -1.0604   -0.0872   -0.3257    0.4018         1   -4.5768
 24  1.039062142824392E+06  108.149799  6.267528  4.712469  6.1432970E-01  3.7192790E-01  2.1552250E-04  2.2743031E-05  7.3871810E-03  8.0671502E-04  8.3050821E-07  7.9203241E-07  1.8527621E-03  1.4090228E-05  1.904E-05  0.8395  4.712469   -4.888  0.240672  7.657425  5.4152820E-01  4.4478660E-01  8.4196017E-05  2.3152697E-05  8.0957178E-03  1.7297646E-04  2.5287861E-07  5.5142252E-10  1.8383725E-03  3.3951035E-06  2.582E-05  1.220E-05  1.382E-05  9.912E-01  1.016E+00  9.00E+02  1.02E+03  1.46E+02  0.241594  0.424834  0.0000000E+00  2.5094416218E+00       4.012    16.97  -10.9188   -6.3357   -1.2014   -0.3704   -0.1602   -0.4706   -0.2513   -0.0411   -1.0612   -0.0873   -0.3259    0.4021         1   -4.5831
 25  1.081770733378162E+06  107.593550  6.269834  4.713633  6.0540290E-01  3.8086430E-01  1.9191136E-04  2.2759617E-05  7.5085078E-03  6.9976104E-04  7.3720585E-07  6.5097029E-07  1.8509770E-03  1.2176451E-05  1.918E-05  0.8420  4.713633   -4.882  0.242864  7.658078  5.3389960E-01  4.5241580E-01  8.4053118E-05  2.3116561E-05  8.1027841E-03  1.6514556E-04  2.4223961E-07  5.0549723E-10  1.8369017E-03  3.4025406E-06  2.521E-05  1.170E-05  1.329E-05  9.920E-01  1.014E+00  8.99E+02  1.02E+03  1.40E+02  0.230915  0.426930  0.0000000E+00  2.3840674017E+00       4.012    16.93  -10.9246   -6.3334   -1.2017   -0.3708   -0.1604   -0.4711   -0.2515   -0.0411   -1.0622   -0.0875   -0.3263    0.4026         1   -4.5912
 26  1.123403591674432E+06  107.044863  6.271846  4.714860  5.9584760E-01  3.9042820E-01  1.7153749E-04  2.2793407E-05  7.6160593E-03  6.0418427E-04  6.5177514E-07  5.2881494E-07  1.8490798E-03  1.0522235E-05  1.929E-05  0.8436  4.714860   -4.878  0.244724  7.658618  5.2626690E-01  4.6004940E-01  8.4877802E-05  2.3329096E-05  8.1080039E-03  1.5783158E-04  2.2884781E-07  4.8354910E-10  1.8354289E-03  3.4071162E-06  2.460E-05  1.130E-05  1.278E-05  9.926E-01  1.013E+00  8.98E+02  1.02E+03  1.34E+02  0.222152  0.428545  0.0000000E+00  2.2662271208E+00       4.012    16.88  -10.9296   -6.3299   -1.2021   -0.3711   -0.1606   -0.4716   -0.2517   -0.0412   -1.0632   -0.0876   -0.3267    0.4030         1   -4.5997
 27  1.164543417447612E+06  106.496809  6.273912  4.716176  5.8583920E-01  4.0044420E-01  1.5400586E-04  2.2842211E-05  7.7109393E-03  5.1925527E-04  5.7424524E-07  4.2325872E-07  1.8471030E-03  9.0960262E-06  1.936E-05  0.8448  4.716176   -4.873  0.246959  7.659277  5.1862930E-01  4.6768750E-01  8.4601898E-05  2.3259562E-05  8.1140138E-03  1.5142421E-04  2.2064012E-07  4.5338497E-10  1.8339542E-03  3.4178262E-06  2.400E-05  1.070E-05  1.230E-05  9.933E-01  1.012E+00  8.97E+02  1.02E+03  1.27E+02  0.211104  0.430094  0.0000000E+00  2.1543566415E+00       4.013    16.83  -10.9348   -6.3260   -1.2024   -0.3715   -0.1608   -0.4722   -0.2520   -0.0412   -1.0643   -0.0878   -0.3270    0.4035         1   -4.6088
