line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   31.990146  5.113357  4.612188  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5654  4.612188   -6.660  0.598500  7.604545  7.1686290E-01  2.6884930E-01  3.1134084E-05  8.5166890E-06  3.9540302E-03  4.9831682E-03  1.3019977E-05  1.5286664E-08  1.8760128E-03  6.8077386E-05  3.400E-06  5.530E-05  5.924E-05  9.469E-01  1.067E+00  7.67E+02  1.09E+03  3.06E+02  0.567051  0.107299  0.0000000E+00  7.5835392057E-01       4.263     6.92   -8.0334   -4.2238   -1.1728   -0.3375   -0.1466   -0.4293   -0.2273   -0.0364   -0.9591   -0.0756   -0.2980    0.3674         1   -3.8096
  2  1.139784105376182E+05   31.965280  5.117473  4.610350  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5627  4.610350   -6.658  0.580699  7.599247  7.0852340E-01  2.7736100E-01  4.0352564E-05  1.1003210E-05  5.1540533E-03  3.5994298E-03  9.7155918E-06  1.3660289E-08  1.8740172E-03  1.0715286E-05  1.003E-05  5.100E-05  5.954E-05  9.598E-01  1.048E+00  7.58E+02  1.07E+03  2.63E+02  0.500111  0.108405  0.0000000E+00  7.5385740250E-01       4.243     7.07   -8.0437   -4.2457   -1.1722   -0.3369   -0.1464   -0.4288   -0.2268   -0.0363   -0.9574   -0.0755   -0.2977    0.3670         1   -3.7980
  3  2.240913307668350E+05   31.940862  5.121890  4.608147  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  3.074E-19  0.5600  4.608147   -6.650  0.571590  7.596812  7.0016020E-01  2.8583140E-01  4.5969219E-05  1.2554249E-05  5.8933206E-03  2.7472515E-03  7.4700436E-06  1.1738329E-08  1.8723885E-03  2.7874098E-06  1.408E-05  4.950E-05  5.824E-05  9.607E-01  1.048E+00  7.52E+02  1.06E+03  2.58E+02  0.494790  0.109597  0.0000000E+00  7.4955328573E-01       4.229     7.19   -8.0547   -4.2715   -1.1714   -0.3363   -0.1462   -0.4281   -0.2263   -0.0362   -0.9551   -0.0753   -0.2972    0.3664         1   -3.7833
  4  3.354011305637628E+05   31.915671  5.126490  4.606584  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707480E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.762E-15  0.5576  4.606584   -6.641  0.566117  7.595663  6.9176380E-01  2.9430130E-01  4.9654376E-05  1.3570575E-05  6.3989418E-03  2.1646894E-03  5.9124973E-06  9.4516973E-09  1.8709316E-03  1.3941581E-06  1.670E-05  4.850E-05  5.725E-05  9.607E-01  1.048E+00  7.47E+02  1.06E+03  2.56E+02  0.494671  0.110852  0.0000000E+00  7.4509452293E-01       4.218     7.28   -8.0662   -4.2933   -1.1708   -0.3358   -0.1461   -0.4276   -0.2259   -0.0361   -0.9536   -0.0752   -0.2969    0.3660         1   -3.7729
  5  4.449156110091267E+05   31.890342  5.131105  4.605343  7.2000000E-01  2.6595590E-01  2.2831516E-03  2.7708223E-05  6.5875834E-04  5.7184751E-03  2.2656023E-06  1.2899739E-05  1.8768898E-03  1.5180834E-04  1.577E-13  0.5554  4.605343   -6.631  0.562471  7.595177  6.8348640E-01  3.0263120E-01  5.2345371E-05  1.4309597E-05  6.7598679E-03  1.7487606E-03  4.7819698E-06  7.9524038E-09  1.8695948E-03  1.0688721E-06  1.838E-05  4.790E-05  5.644E-05  9.601E-01  1.048E+00  7.43E+02  1.05E+03  2.57E+02  0.498290  0.112125  0.0000000E+00  7.4058992196E-01       4.208     7.35   -8.0778   -4.3130   -1.1704   -0.3354   -0.1459   -0.4273   -0.2256   -0.0361   -0.9523   -0.0751   -0.2966    0.3657         1   -3.7648
  6  5.546455297766778E+05   31.864387  5.135829  4.604330  7.2000000E-01  2.6595590E-01  2.2831431E-03  2.7713713E-05  6.5876370E-04  5.7184741E-03  2.2656193E-06  1.2899712E-05  1.8768898E-03  1.5180822E-04  2.975E-12  0.5532  4.604330   -6.621  0.560337  7.594843  6.7517250E-01  3.1098440E-01  5.4341225E-05  1.4856359E-05  7.0313081E-03  1.4359969E-03  3.9381039E-06  6.9133736E-09  1.8683158E-03  9.7632333E-07  1.944E-05  4.710E-05  5.571E-05  9.601E-01  1.047E+00  7.39E+02  1.04E+03  2.55E+02  0.498073  0.113443  0.0000000E+00  7.3595337797E-01       4.199     7.43   -8.0896   -4.3313   -1.1700   -0.3351   -0.1458   -0.4269   -0.2254   -0.0361   -0.9513   -0.0750   -0.2964    0.3654         1   -3.7583
  7  6.650602551576893E+05   31.837657  5.140694  4.603354  7.2000000E-01  2.6595590E-01  2.2831030E-03  2.7733339E-05  6.5879690E-04  5.7184673E-03  2.2657242E-06  1.2899559E-05  1.8768898E-03  1.5180746E-04  1.979E-11  0.5512  4.603354   -6.611  0.558434  7.594802  6.6676720E-01  3.1942020E-01  5.6322043E-05  1.5408241E-05  7.2404454E-03  1.1943560E-03  3.1959751E-06  5.7741746E-09  1.8670665E-03  9.4472470E-07  2.007E-05  4.630E-05  5.503E-05  9.606E-01  1.049E+00  7.34E+02  1.04E+03  2.52E+02  0.495385  0.114818  0.0000000E+00  7.3115788488E-01       4.190     7.51   -8.1017   -4.3496   -1.1696   -0.3348   -0.1457   -0.4266   -0.2252   -0.0360   -0.9504   -0.0749   -0.2962    0.3651         1   -3.7521
  8  7.733437612452257E+05   31.810813  5.145465  4.602558  7.1999980E-01  2.6595600E-01  2.2829496E-03  2.7792330E-05  6.5894492E-04  5.7184348E-03  2.2661850E-06  1.2898916E-05  1.8768898E-03  1.5180391E-04  9.116E-11  0.5492  4.602558   -6.601  0.557479  7.595068  6.5848210E-01  3.2772850E-01  5.7265381E-05  1.5659321E-05  7.4013242E-03  1.0093459E-03  2.7471771E-06  5.1644228E-09  1.8658647E-03  9.1546757E-07  2.036E-05  4.580E-05  5.442E-05  9.601E-01  1.048E+00  7.31E+02  1.03E+03  2.53E+02  0.498353  0.116184  0.0000000E+00  7.2631810722E-01       4.182     7.57   -8.1137   -4.3666   -1.1693   -0.3346   -0.1457   -0.4264   -0.2250   -0.0360   -0.9496   -0.0748   -0.2961    0.3649         1   -3.7471
  9  8.818291542053125E+05   31.783269  5.150371  4.601694  7.1999940E-01  2.6595640E-01  2.2825683E-03  2.7914697E-05  6.5934714E-04  5.7183420E-03  2.2674137E-06  1.2897231E-05  1.8768897E-03  1.5179402E-04  2.719E-10  0.5475  4.601694   -6.590  0.556654  7.595379  6.5016490E-01  3.3606390E-01  5.8392901E-05  1.5969332E-05  7.5269555E-03  8.6427640E-04  2.3249036E-06  4.2888059E-09  1.8646795E-03  9.2537847E-07  2.040E-05  4.510E-05  5.381E-05  9.600E-01  1.048E+00  7.27E+02  1.02E+03  2.52E+02  0.499036  0.117606  0.0000000E+00  7.2132773795E-01       4.173     7.65   -8.1259   -4.3843   -1.1690   -0.3343   -0.1456   -0.4261   -0.2248   -0.0359   -0.9487   -0.0748   -0.2959    0.3647         1   -3.7416
