line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   59.950464  5.691317  4.675277  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7146  4.675277   -5.747  0.407946  7.631828  7.1699900E-01  2.6872460E-01  6.2687216E-05  1.4277596E-05  3.9463991E-03  4.9464870E-03  8.9214719E-06  1.3468129E-07  1.8758300E-03  8.7248540E-05  3.769E-06  4.640E-05  4.369E-05  9.474E-01  1.073E+00  8.70E+02  1.16E+03  3.46E+02  0.564488  0.216661  0.0000000E+00  2.2034263179E+00       4.210    10.07   -9.4783   -5.1936   -1.1886   -0.3578   -0.1530   -0.4502   -0.2431   -0.0392   -1.0257   -0.0814   -0.3121    0.3850         1   -4.2847
  2  6.889074058448615E+04   59.827216  5.695413  4.675423  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7041  4.675423   -5.745  0.398938  7.629114  7.0863430E-01  2.7726970E-01  4.6870596E-05  1.2745949E-05  5.2696877E-03  3.4590024E-03  7.0232822E-06  1.3578579E-08  1.8733372E-03  2.2127417E-05  1.167E-05  3.900E-05  4.342E-05  9.619E-01  1.049E+00  8.63E+02  1.14E+03  2.92E+02  0.487941  0.219164  0.0000000E+00  2.1682947404E+00       4.196    10.21   -9.4885   -5.2016   -1.1887   -0.3579   -0.1531   -0.4504   -0.2431   -0.0392   -1.0260   -0.0814   -0.3121    0.3851         1   -4.2869
  3  1.371923368862845E+05   59.702715  5.698328  4.672772  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707441E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.881E-15  0.7010  4.672772   -5.735  0.389712  7.626344  7.0036580E-01  2.8564640E-01  5.3512288E-05  1.4590251E-05  6.0161881E-03  2.5964551E-03  5.1752032E-06  1.0528727E-08  1.8713791E-03  7.9778125E-06  1.659E-05  3.790E-05  4.214E-05  9.623E-01  1.049E+00  8.55E+02  1.13E+03  2.88E+02  0.485361  0.221101  0.0000000E+00  2.1334912258E+00       4.182    10.37   -9.4958   -5.2276   -1.1880   -0.3571   -0.1527   -0.4493   -0.2426   -0.0391   -1.0238   -0.0811   -0.3114    0.3842         1   -4.2682
  4  2.059960810539964E+05   59.574743  5.701386  4.670970  7.2000000E-01  2.6595590E-01  2.2831510E-03  2.7707660E-05  6.5875995E-04  5.7184747E-03  2.2656052E-06  1.2899733E-05  1.8768898E-03  1.5180830E-04  1.800E-12  0.6985  4.670970   -5.727  0.384825  7.625017  6.9210250E-01  2.9398220E-01  5.7595538E-05  1.5716117E-05  6.5160969E-03  2.0193270E-03  4.0711505E-06  8.6238927E-09  1.8696403E-03  4.1165985E-06  1.997E-05  3.690E-05  4.115E-05  9.629E-01  1.048E+00  8.49E+02  1.12E+03  2.83E+02  0.481832  0.223141  0.0000000E+00  2.0978345141E+00       4.170    10.50   -9.5035   -5.2478   -1.1876   -0.3566   -0.1524   -0.4485   -0.2422   -0.0390   -1.0222   -0.0809   -0.3109    0.3836         1   -4.2557
  5  2.750114616987043E+05   59.443778  5.704541  4.669413  7.1999990E-01  2.6595590E-01  2.2831026E-03  2.7710002E-05  6.5882855E-04  5.7184584E-03  2.2657427E-06  1.2899460E-05  1.8768898E-03  1.5180695E-04  6.353E-11  0.6963  4.669413   -5.718  0.381818  7.624309  6.8383240E-01  3.0230410E-01  6.0791240E-05  1.6608522E-05  6.8718029E-03  1.6082260E-03  3.2333484E-06  6.8945740E-09  1.8680216E-03  2.9077457E-06  2.235E-05  3.610E-05  4.027E-05  9.633E-01  1.048E+00  8.44E+02  1.11E+03  2.80E+02  0.479463  0.225263  0.0000000E+00  2.0614973938E+00       4.160    10.62   -9.5114   -5.2665   -1.1872   -0.3561   -0.1522   -0.4479   -0.2419   -0.0390   -1.0209   -0.0807   -0.3105    0.3831         1   -4.2449
  6  3.449369840486737E+05   59.308310  5.707872  4.668083  7.1999940E-01  2.6595640E-01  2.2827369E-03  2.7719951E-05  6.5936302E-04  5.7183255E-03  2.2667950E-06  1.2897373E-05  1.8768896E-03  1.5179612E-04  5.315E-10  0.6942  4.668083   -5.708  0.379731  7.623909  6.7549790E-01  3.1067700E-01  6.3523178E-05  1.7372072E-05  7.1349223E-03  1.3035580E-03  2.5642198E-06  5.9539642E-09  1.8664684E-03  2.5230076E-06  2.403E-05  3.500E-05  3.944E-05  9.647E-01  1.049E+00  8.38E+02  1.11E+03  2.73E+02  0.470886  0.227516  0.0000000E+00  2.0239348319E+00       4.149    10.73   -9.5197   -5.2839   -1.1868   -0.3557   -0.1520   -0.4474   -0.2417   -0.0389   -1.0198   -0.0806   -0.3101    0.3826         1   -4.2358
  7  4.138995808834165E+05   59.171950  5.711150  4.666915  7.1999720E-01  2.6595850E-01  2.2814141E-03  2.7743487E-05  6.6135928E-04  5.7177871E-03  2.2705632E-06  1.2889805E-05  1.8768888E-03  1.5175407E-04  2.316E-09  0.6923  4.666915   -5.699  0.378828  7.623897  6.6722650E-01  3.1897700E-01  6.5189858E-05  1.7829643E-05  7.3329059E-03  1.0749105E-03  2.1281279E-06  5.0575627E-09  1.8649776E-03  2.3462598E-06  2.519E-05  3.430E-05  3.869E-05  9.653E-01  1.049E+00  8.33E+02  1.10E+03  2.69E+02  0.467344  0.229768  0.0000000E+00  1.9863218440E+00       4.140    10.84   -9.5279   -5.3000   -1.1865   -0.3554   -0.1518   -0.4469   -0.2414   -0.0389   -1.0188   -0.0805   -0.3098    0.3822         1   -4.2279
  8  4.828659836934840E+05   59.032759  5.714527  4.665843  7.1999010E-01  2.6596530E-01  2.2780576E-03  2.7784942E-05  6.6665400E-04  5.7161796E-03  2.2798328E-06  1.2870585E-05  1.8768865E-03  1.5163707E-04  7.398E-09  0.6907  4.665843   -5.691  0.378219  7.623979  6.5897460E-01  3.2725060E-01  6.6643254E-05  1.8253281E-05  7.4830473E-03  9.0120295E-04  1.7597328E-06  4.2283733E-09  1.8635268E-03  2.3084235E-06  2.592E-05  3.370E-05  3.794E-05  9.649E-01  1.047E+00  8.29E+02  1.09E+03  2.69E+02  0.469864  0.232107  0.0000000E+00  1.9481174957E+00       4.131    10.93   -9.5363   -5.3158   -1.1862   -0.3551   -0.1517   -0.4465   -0.2412   -0.0388   -1.0179   -0.0804   -0.3095    0.3819         1   -4.2206
  9  5.523322279345264E+05   58.889570  5.717970  4.664821  7.1997190E-01  2.6598310E-01  2.2714474E-03  2.7843938E-05  6.7767165E-04  5.7123653E-03  2.2971629E-06  1.2832713E-05  1.8768807E-03  1.5138256E-04  1.896E-08  0.6891  4.664821   -5.681  0.378018  7.624200  6.5063230E-01  3.3561010E-01  6.8019001E-05  1.8631883E-05  7.6009182E-03  7.6445675E-04  1.4754488E-06  3.7868383E-09  1.8620853E-03  2.2831990E-06  2.635E-05  3.300E-05  3.720E-05  9.654E-01  1.046E+00  8.24E+02  1.08E+03  2.65E+02  0.466556  0.234520  0.0000000E+00  1.9089426376E+00       4.123    11.03   -9.5449   -5.3313   -1.1860   -0.3548   -0.1515   -0.4461   -0.2410   -0.0388   -1.0170   -0.0802   -0.3093    0.3815         1   -4.2137
 10  6.210801412961243E+05   58.744840  5.721441  4.663956  7.1993020E-01  2.6602410E-01  2.2601591E-03  2.7918334E-05  6.9770315E-04  5.7044928E-03  2.3246478E-06  1.2767994E-05  1.8768680E-03  1.5090400E-04  4.202E-08  0.6878  4.663956   -5.672  0.378348  7.624594  6.4237390E-01  3.4388160E-01  6.8803213E-05  1.8837772E-05  7.6921894E-03  6.5902804E-04  1.2803603E-06  3.5006662E-09  1.8606769E-03  2.2947995E-06  2.652E-05  3.200E-05  3.650E-05  9.670E-01  1.047E+00  8.19E+02  1.07E+03  2.58E+02  0.456247  0.236979  0.0000000E+00  1.8695416006E+00       4.114    11.13   -9.5536   -5.3456   -1.1858   -0.3545   -0.1514   -0.4458   -0.2409   -0.0387   -1.0163   -0.0801   -0.3091    0.3813         1   -4.2080
