ID,STAR,RA,DEC,GAL,SpC,TIC,AVECROWD,MK,JK,BR,RUWE,TEFF,e_TEFF,SLOGL,IQR,e_IQR,PSI,e_PSI,SKW,e_SKW,ZCR,e_ZCR,MSP,e_MSP,MSD,e_MSD,MSC,e_MSC,MSS,e_MSS
10,LSI+6371,6.0426433311,63.82203947179,MW,B8II,372511556,0.93607438,-3.8951935737662495,0.39600086212158203,1.2049083709716797,0.8619999885559082,,,,0.000714188863639719,,0.005636545148486637,,0.05820904517247436,,0.4814716075713143,,1.92847204417102,,0.3161041936709596,,0.01652610941352247,,-0.0647559615700861,
11,LSI+60102,6.24524967977,60.36256467899,MW,B8II,372498847,0.841694625,-3.019769373155384,0.15600013732910156,0.6846370697021484,2.5880000591278076,,,,0.001732625976728741,1.1715244909282774e-05,0.5707196600058535,0.11422298811742468,0.1100883178667071,0.1041959380676161,0.231459045345544,0.014470207882979313,1.580833417992267,0.05240549270349093,0.1692743338825398,0.005593351299924942,0.01191013758096215,0.0007412834063588863,-0.02592954621794909,0.002198155685752788
12,LSI+6379,8.18566361885,63.30465347211,MW,B8Iae,444458408,0.79758132,-2.7578963764146955,0.8640003204345703,0.6511993408203125,0.9350000023841858,,,,0.0339692821726203,,1.620743654693763,,0.1079768242964366,,0.05882352941176471,,0.5861596330952774,,0.07337778230687476,,0.006773947544867354,,0.001036883151127408,
13,HD2905,8.249871,62.931793,MW,B0.7Ia,419531713,0.9954971566666667,-5.935191969759963,0.12799978256225586,0.23576807975769043,2.368000030517578,24400.0,300.0,4.062449155322206,0.0220764665864408,0.004706044459257535,3.782943424522621,1.2618486359064318,0.02770508032699033,0.32080010634471595,0.008594944840065668,0.0018337805234513982,0.2484031918654692,0.05083923199299065,0.19532084084399,0.016021031706586846,-0.00443306099558991,0.0008074409034960404,0.04422651006310152,0.0034813129679006727
14,2MASSJ00331764-7339459,8.3233288902,-73.66281797784,SMC,B9(II),267326376,,-3.8219581041685124,0.38700008392333984,-0.014351844787597656,1.128999948501587,,,,,,,,,,,,,,,,,,,
15,BD+6361,8.34201885316,63.9980337317,MW,B1Iab,419524843,0.95400253,-4.813623640372345,0.3859996795654297,1.2771072387695312,1.0410000085830688,,,,0.01247091154800728,0.0012636093306355178,1.693474921111282,0.16488934170650482,-0.04160419540130098,0.092557769596127,0.01765366234716216,0.0006730308799294728,0.9036993479234561,0.16735957444398508,0.3653286595069394,0.021971991765627308,-0.00309098156857859,0.0009563523050220048,0.08403304755133081,0.004825275990051454
16,2MASSJ00334923-7326303,8.45526056974,-73.44176982001,SMC,B5(II),267357949,,-3.6219582949033757,-0.2589998245239258,-0.10018253326416016,0.9909999966621399,,,,,,,,,,,,,,,,,,,
17,2MASSJ00340958-7414015,8.53997306306,-74.23377656801,SMC,B8(II),267362398,,-4.825958767925837,0.015000343322753906,0.03708648681640625,0.9559999704360962,,,,,,,,,,,,,,,,,,,
18,2MASSJ00350293-7336588,8.76222331751,-73.61641058814,SMC,B8(II),267361534,,-3.9419579897275945,0.25099945068359375,0.11242008209228516,1.059000015258789,,,,,,,,,,,,,,,,,,,
19,2MASSJ00351012-7407198,8.79222710951,-74.12214573212,SMC,B9(II),267362280,,-3.732958355938532,0.3920001983642578,-0.014800071716308594,1.0460000038146973,,,,,,,,,,,,,,,,,,,
