line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   59.949995  5.703098  4.689020  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7225  4.689020   -5.761  0.418919  7.636336  7.1686250E-01  2.6885740E-01  3.5270386E-05  9.6776640E-06  3.9890843E-03  4.9390001E-03  9.9874213E-06  1.4322337E-08  1.8758032E-03  8.7409517E-05  3.836E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.222621  0.0000000E+00  0.0000000000E+00       4.222     9.93   -9.5077   -5.1202   -1.1926   -0.3621   -0.1552   -0.4565   -0.2459   -0.0398   -1.0381   -0.0832   -0.3163    0.3903         1   -4.3876
  2  6.261576979503816E+04   59.840100  5.705174  4.684481  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7172  4.684481   -5.751  0.399262  7.630076  7.0863630E-01  2.7726270E-01  4.5578778E-05  1.2501896E-05  5.2377594E-03  3.4972998E-03  7.2640663E-06  1.0215552E-08  1.8733461E-03  2.3958817E-05  1.155E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.224098  0.0000000E+00  0.0000000000E+00       4.201    10.16   -9.5129   -5.1578   -1.1914   -0.3607   -0.1545   -0.4545   -0.2451   -0.0396   -1.0343   -0.0826   -0.3149    0.3886         1   -4.3551
  3  1.244198536853255E+05   59.729411  5.707444  4.681833  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7129  4.681833   -5.743  0.390093  7.627289  7.0060260E-01  2.8540420E-01  5.1923009E-05  1.4242441E-05  5.9819089E-03  2.6379095E-03  5.4790906E-06  7.7096918E-09  1.8714149E-03  8.1629522E-06  1.647E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.225690  0.0000000E+00  0.0000000000E+00       4.187    10.31   -9.5186   -5.1823   -1.1906   -0.3599   -0.1541   -0.4533   -0.2446   -0.0395   -1.0321   -0.0823   -0.3141    0.3876         1   -4.3363
  4  1.870356234803626E+05   59.615188  5.709788  4.679870  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7081  4.679870   -5.735  0.384796  7.625793  6.9242490E-01  2.9365700E-01  5.6239455E-05  1.5425589E-05  6.4996687E-03  2.0401122E-03  4.2590319E-06  5.9704568E-09  1.8696649E-03  3.4085596E-06  2.000E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.227346  0.0000000E+00  0.0000000000E+00       4.176    10.44   -9.5245   -5.2021   -1.1901   -0.3594   -0.1538   -0.4525   -0.2442   -0.0394   -1.0305   -0.0820   -0.3136    0.3869         1   -4.3224
  5  2.486077971121496E+05   59.500890  5.712093  4.678269  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7036  4.678269   -5.728  0.381567  7.624979  6.8431660E-01  3.0181910E-01  5.9354123E-05  1.6279520E-05  6.8698319E-03  1.6126914E-03  3.3740471E-06  4.7225679E-09  1.8680525E-03  1.9239348E-06  2.253E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.228995  0.0000000E+00  0.0000000000E+00       4.166    10.54   -9.5302   -5.2191   -1.1897   -0.3589   -0.1535   -0.4518   -0.2439   -0.0394   -1.0291   -0.0818   -0.3131    0.3863         1   -4.3112
  6  3.091363745806856E+05   59.386610  5.714512  4.676856  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6996  4.676856   -5.720  0.379592  7.624569  6.7626100E-01  3.0991450E-01  6.1697707E-05  1.6922221E-05  7.1446739E-03  1.2952899E-03  2.7109928E-06  3.7938002E-09  1.8665280E-03  1.4480277E-06  2.437E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.230717  0.0000000E+00  0.0000000000E+00       4.158    10.64   -9.5363   -5.2350   -1.1893   -0.3585   -0.1533   -0.4512   -0.2436   -0.0393   -1.0279   -0.0817   -0.3127    0.3858         1   -4.3013
  7  3.696649520492218E+05   59.270409  5.716847  4.675551  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6955  4.675551   -5.713  0.378356  7.624408  6.6811600E-01  3.1809020E-01  6.3536177E-05  1.7426621E-05  7.3567680E-03  1.0503054E-03  2.1964956E-06  3.0758980E-09  1.8650400E-03  1.3078296E-06  2.572E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.232415  0.0000000E+00  0.0000000000E+00       4.149    10.73   -9.5421   -5.2499   -1.1890   -0.3581   -0.1531   -0.4507   -0.2433   -0.0392   -1.0268   -0.0815   -0.3124    0.3854         1   -4.2922
  8  4.291499333545078E+05   59.154320  5.719170  4.674319  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6914  4.674319   -5.706  0.377685  7.624427  6.6002170E-01  3.2620820E-01  6.4980716E-05  1.7823141E-05  7.5199215E-03  8.6180120E-04  1.7993641E-06  2.5230372E-09  1.8635990E-03  1.2888582E-06  2.666E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.234121  0.0000000E+00  0.0000000000E+00       4.141    10.82   -9.5479   -5.2643   -1.1887   -0.3577   -0.1529   -0.4502   -0.2431   -0.0392   -1.0258   -0.0814   -0.3120    0.3849         1   -4.2836
  9  4.886349146597921E+05   59.036317  5.721595  4.673089  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707438E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6878  4.673089   -5.699  0.377445  7.624584  6.5183210E-01  3.3441640E-01  6.6154058E-05  1.8145414E-05  7.6489923E-03  7.1262491E-04  1.4845357E-06  2.0852997E-09  1.8621690E-03  1.3144783E-06  2.729E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.235902  0.0000000E+00  0.0000000000E+00       4.133    10.91   -9.5540   -5.2789   -1.1883   -0.3574   -0.1527   -0.4496   -0.2428   -0.0391   -1.0248   -0.0812   -0.3117    0.3845         1   -4.2751
 10  5.460327036385762E+05   58.920590  5.723947  4.671906  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707439E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6840  4.671906   -5.692  0.377509  7.624832  6.4382770E-01  3.4243510E-01  6.7088249E-05  1.8402159E-05  7.7485153E-03  5.9754989E-04  1.2414848E-06  1.7475330E-09  1.8607913E-03  1.3561068E-06  2.766E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.237649  0.0000000E+00  0.0000000000E+00       4.125    11.00   -9.5599   -5.2930   -1.1880   -0.3570   -0.1526   -0.4492   -0.2426   -0.0391   -1.0238   -0.0811   -0.3113    0.3841         1   -4.2669
 11  6.034304926173611E+05   58.803001  5.726271  4.670727  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707441E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6802  4.670727   -5.685  0.377791  7.625153  6.3573020E-01  3.5054410E-01  6.7867551E-05  1.8616538E-05  7.8285251E-03  5.0498990E-04  1.0459767E-06  1.4758200E-09  1.8594125E-03  1.4046041E-06  2.783E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.239402  0.0000000E+00  0.0000000000E+00       4.117    11.09   -9.5657   -5.3070   -1.1877   -0.3567   -0.1524   -0.4487   -0.2424   -0.0390   -1.0228   -0.0810   -0.3110    0.3837         1   -4.2587
