line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00  119.827960  6.231065  4.729690  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8403  4.729690   -5.055  0.257243  7.664318  7.1696950E-01  2.6875550E-01  3.9130811E-05  1.0761572E-05  4.0084026E-03  4.9121276E-03  8.1935128E-06  1.3785537E-08  1.8756192E-03  1.0333261E-04  3.913E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.375632  0.0000000E+00  0.0000000000E+00       4.157    15.12  -10.8277   -6.1372   -1.2054   -0.3746   -0.1624   -0.4768   -0.2541   -0.0417   -1.0732   -0.0891   -0.3302    0.4073         1   -4.6905
  2  3.562984880593069E+04  119.509755  6.231380  4.725136  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8345  4.725136   -5.044  0.238991  7.658254  7.1025460E-01  2.7563250E-01  4.9472661E-05  1.3602672E-05  5.1367064E-03  3.6073122E-03  6.1200504E-06  1.0163298E-08  1.8731478E-03  4.7312019E-05  1.091E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.376906  0.0000000E+00  0.0000000000E+00       4.138    15.44  -10.8285   -6.1674   -1.2043   -0.3734   -0.1618   -0.4750   -0.2533   -0.0415   -1.0698   -0.0886   -0.3290    0.4059         1   -4.6610
  3  7.194488701197528E+04  119.178823  6.231830  4.722254  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8294  4.722254   -5.037  0.229887  7.655228  7.0349400E-01  2.8249700E-01  5.6047431E-05  1.5409117E-05  5.8558214E-03  2.7757567E-03  4.7469348E-06  7.8333216E-09  1.8711459E-03  2.3858327E-05  1.585E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.378344  0.0000000E+00  0.0000000000E+00       4.124    15.66  -10.8296   -6.1872   -1.2035   -0.3726   -0.1614   -0.4739   -0.2528   -0.0414   -1.0676   -0.0883   -0.3282    0.4049         1   -4.6423
  4  1.082599252180200E+05  118.842538  6.232395  4.720035  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8246  4.720035   -5.030  0.224612  7.653468  6.9673150E-01  2.8933240E-01  6.0657258E-05  1.6675719E-05  6.3592653E-03  2.1935998E-03  3.7677864E-06  6.1961307E-09  1.8693769E-03  1.3139440E-05  1.958E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.379909  0.0000000E+00  0.0000000000E+00       4.114    15.83  -10.8310   -6.2031   -1.2030   -0.3721   -0.1611   -0.4730   -0.2524   -0.0413   -1.0659   -0.0880   -0.3276    0.4042         1   -4.6279
  5  1.438897740239511E+05  118.507898  6.233031  4.718175  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8209  4.718175   -5.024  0.221411  7.652393  6.9006740E-01  2.9604960E-01  6.4029379E-05  1.7602322E-05  6.7259104E-03  1.7696126E-03  3.0467692E-06  5.0011867E-09  1.8677668E-03  8.0139891E-06  2.245E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.381540  0.0000000E+00  0.0000000000E+00       4.104    15.98  -10.8326   -6.2168   -1.2025   -0.3716   -0.1608   -0.4723   -0.2521   -0.0412   -1.0645   -0.0878   -0.3271    0.4036         1   -4.6158
  6  1.795196228298823E+05  118.168863  6.233610  4.716519  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707439E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8166  4.716519   -5.019  0.219395  7.651711  6.8335910E-01  3.0279870E-01  6.6638425E-05  1.8319354E-05  7.0076913E-03  1.4437366E-03  2.4885975E-06  4.0813496E-09  1.8662325E-03  5.4129028E-06  2.475E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.383145  0.0000000E+00  0.0000000000E+00       4.096    16.11  -10.8340   -6.2291   -1.2021   -0.3711   -0.1606   -0.4717   -0.2518   -0.0412   -1.0633   -0.0876   -0.3267    0.4031         1   -4.6049
  7  2.151494716358132E+05  117.825546  6.234209  4.714964  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707442E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.998E-28  0.8127  4.714964   -5.013  0.218197  7.651297  6.7660920E-01  3.0958050E-01  6.8699221E-05  1.8885804E-05  7.2283111E-03  1.1885643E-03  2.0495615E-06  3.3604760E-09  1.8647495E-03  4.0713411E-06  2.659E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.384791  0.0000000E+00  0.0000000000E+00       4.088    16.24  -10.8355   -6.2408   -1.2017   -0.3707   -0.1604   -0.4711   -0.2515   -0.0411   -1.0621   -0.0874   -0.3263    0.4025         1   -4.5947
  8  2.500941310416302E+05  117.484700  6.234825  4.713501  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707447E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  6.851E-28  0.8090  4.713501   -5.008  0.217587  7.651075  6.6994120E-01  3.1627340E-01  7.0326446E-05  1.9333186E-05  7.4004877E-03  9.8939147E-04  1.7057154E-06  2.7973709E-09  1.8633279E-03  3.3846196E-06  2.805E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.386456  0.0000000E+00  0.0000000000E+00       4.080    16.36  -10.8371   -6.2519   -1.2013   -0.3703   -0.1602   -0.4705   -0.2512   -0.0410   -1.0610   -0.0873   -0.3259    0.4021         1   -4.5851
  9  2.850387904474468E+05  117.139757  6.235472  4.712069  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707456E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  3.303E-27  0.8055  4.712069   -5.003  0.217398  7.650989  6.6322630E-01  3.2300840E-01  7.1654562E-05  1.9698441E-05  7.5390130E-03  8.2911514E-04  1.4284181E-06  2.3440071E-09  1.8619287E-03  3.0270339E-06  2.922E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.388172  0.0000000E+00  0.0000000000E+00       4.072    16.48  -10.8387   -6.2630   -1.2009   -0.3700   -0.1600   -0.4699   -0.2510   -0.0410   -1.0599   -0.0871   -0.3255    0.4016         1   -4.5756
 10  3.192982604531499E+05  116.797571  6.236126  4.710680  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707469E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  8.056E-27  0.8023  4.710680   -4.998  0.217530  7.651007  6.5659590E-01  3.2965460E-01  7.2729596E-05  1.9994185E-05  7.6492071E-03  7.0158779E-04  1.2074887E-06  1.9831747E-09  1.8605717E-03  2.8490700E-06  3.012E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.389895  0.0000000E+00  0.0000000000E+00       4.065    16.60  -10.8403   -6.2746   -1.2005   -0.3696   -0.1597   -0.4692   -0.2507   -0.0409   -1.0589   -0.0869   -0.3250    0.4010         1   -4.5658
 11  3.537632872788878E+05  116.449250  6.236726  4.709285  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707492E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.497E-26  0.7991  4.709285   -4.993  0.217783  7.651066  6.4987390E-01  3.3638980E-01  7.3898234E-05  2.0316569E-05  7.7393969E-03  5.9673543E-04  1.0183327E-06  1.6867319E-09  1.8592151E-03  2.7652091E-06  3.083E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.391602  0.0000000E+00  0.0000000000E+00       4.058    16.72  -10.8418   -6.2860   -1.2001   -0.3692   -0.1594   -0.4685   -0.2505   -0.0409   -1.0578   -0.0867   -0.3245    0.4003         1   -4.5558
 12  3.881734989526173E+05  116.097298  6.237339  4.707942  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707530E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  6.737E-26  0.7954  4.707942   -4.988  0.218441  7.651256  6.4310660E-01  3.4316760E-01  7.4414972E-05  2.0458325E-05  7.8138251E-03  5.1094368E-04  8.7618026E-07  1.4434666E-09  1.8578647E-03  2.7331963E-06  3.136E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.393345  0.0000000E+00  0.0000000000E+00       4.050    16.83  -10.8433   -6.2971   -1.1997   -0.3688   -0.1592   -0.4678   -0.2503   -0.0408   -1.0568   -0.0865   -0.3240    0.3998         1   -4.5463
 13  4.220293238827129E+05  115.746896  6.238065  4.706512  7.2000000E-01  2.6595590E-01  2.2831523E-03  2.7707574E-05  6.5875804E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.123E-25  0.7924  4.706512   -4.983  0.219183  7.651467  6.3639830E-01  3.4988450E-01  7.5078864E-05  2.0641814E-05  7.8736897E-03  4.4152924E-04  7.5476582E-07  1.2462359E-09  1.8565381E-03  2.7309148E-06  3.173E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.395196  0.0000000E+00  0.0000000000E+00       4.042    16.96  -10.8452   -6.3090   -1.1992   -0.3684   -0.1589   -0.4670   -0.2500   -0.0408   -1.0558   -0.0863   -0.3235    0.3992         1   -4.5361
 14  4.556070304353013E+05  115.395309  6.238816  4.705083  7.2000000E-01  2.6595590E-01  2.2831522E-03  2.7707676E-05  6.5875804E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  4.665E-25  0.7898  4.705083   -4.977  0.220077  7.651725  6.2969930E-01  3.5659040E-01  7.5607662E-05  2.0787179E-05  7.9226643E-03  3.8476558E-04  6.5694859E-07  1.0862317E-09  1.8552227E-03  2.7430567E-06  3.197E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.397085  0.0000000E+00  0.0000000000E+00       4.035    17.08  -10.8470   -6.3211   -1.1988   -0.3680   -0.1586   -0.4663   -0.2498   -0.0407   -1.0547   -0.0860   -0.3230    0.3985         1   -4.5260
 15  4.891175815747844E+05  115.040268  6.239455  4.703692  7.2000000E-01  2.6595590E-01  2.2831521E-03  2.7707789E-05  6.5875805E-04  5.7184752E-03  2.2656013E-06  1.2899740E-05  1.8768898E-03  1.5180834E-04  8.438E-25  0.7863  4.703692   -4.972  0.221022  7.652003  6.2296560E-01  3.6332980E-01  7.6097032E-05  2.0922620E-05  7.9630142E-03  3.3790865E-04  5.7508636E-07  9.5315281E-10  1.8539081E-03  2.7645683E-06  3.209E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.398898  0.0000000E+00  0.0000000000E+00       4.027    17.21  -10.8486   -6.3325   -1.1984   -0.3675   -0.1584   -0.4656   -0.2495   -0.0406   -1.0537   -0.0858   -0.3225    0.3979         1   -4.5161
