line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    8.999972  3.584321  4.391638  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3229  4.391638   -9.993  1.090494  7.511115  7.1693110E-01  2.6876470E-01  2.5159336E-05  6.7582928E-06  3.8345407E-03  5.1181136E-03  2.5075809E-05  2.2308028E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011281  0.0000000E+00  0.0000000000E+00       4.327     3.41   -4.2108   -1.7306   -0.9366   -0.2757   -0.1180   -0.3457   -0.1703   -0.0268   -0.7191   -0.0554   -0.2438    0.2967         1   -2.4802
  2  6.198771464951804E+05    8.999910  3.586774  4.387695  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3260  4.387695   -9.993  1.072768  7.506257  7.0871820E-01  2.7713280E-01  3.1642986E-05  8.4979743E-06  4.9009047E-03  3.8932280E-03  2.0166093E-05  1.7318935E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011345  0.0000000E+00  0.0000000000E+00       4.309     3.48   -4.2169   -1.7549   -0.9311   -0.2744   -0.1173   -0.3442   -0.1693   -0.0266   -0.7146   -0.0550   -0.2429    0.2954         1   -2.4620
  3  1.225940874684058E+06    8.999847  3.590867  4.385444  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3241  4.385444   -9.984  1.063361  7.503943  7.0055030E-01  2.8540020E-01  3.5783120E-05  9.6087939E-06  5.5844190E-03  3.1085735E-03  1.6549518E-05  1.3973245E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011452  0.0000000E+00  0.0000000000E+00       4.296     3.53   -4.2272   -1.7756   -0.9279   -0.2737   -0.1169   -0.3433   -0.1687   -0.0265   -0.7121   -0.0548   -0.2423    0.2947         1   -2.4516
  4  1.816464507278347E+06    8.999785  3.595093  4.383872  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3210  4.383872   -9.974  1.057235  7.502739  6.9248120E-01  2.9354010E-01  3.8741793E-05  1.0402705E-05  6.0702651E-03  2.5509946E-03  1.3782496E-05  1.1532977E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011564  0.0000000E+00  0.0000000000E+00       4.286     3.57   -4.2377   -1.7935   -0.9257   -0.2731   -0.1166   -0.3427   -0.1683   -0.0265   -0.7103   -0.0547   -0.2419    0.2942         1   -2.4442
  5  2.406988139872648E+06    8.999722  3.599713  4.382653  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3186  4.382653   -9.961  1.052952  7.502113  6.8425310E-01  3.0182290E-01  4.1055639E-05  1.1023709E-05  6.4459767E-03  2.1198655E-03  1.1539210E-05  9.6115640E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011688  0.0000000E+00  0.0000000000E+00       4.276     3.61   -4.2493   -1.8108   -0.9240   -0.2727   -0.1164   -0.3422   -0.1680   -0.0264   -0.7089   -0.0546   -0.2416    0.2937         1   -2.4385
  6  2.981971676872358E+06    8.999658  3.604368  4.381654  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3163  4.381654   -9.948  1.049845  7.501862  6.7611400E-01  3.1000440E-01  4.2872576E-05  1.1511476E-05  6.7366492E-03  1.7863228E-03  9.7517307E-06  8.1081012E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011814  0.0000000E+00  0.0000000000E+00       4.267     3.65   -4.2609   -1.8272   -0.9226   -0.2724   -0.1162   -0.3418   -0.1678   -0.0263   -0.7078   -0.0545   -0.2414    0.2934         1   -2.4337
  7  3.556955213872067E+06    8.999592  3.608979  4.380754  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3131  4.380754   -9.935  1.047301  7.501851  6.6782490E-01  3.1832800E-01  4.4374838E-05  1.1914873E-05  6.9730412E-03  1.5150508E-03  8.2707318E-06  6.8765727E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011940  0.0000000E+00  0.0000000000E+00       4.259     3.68   -4.2724   -1.8430   -0.9213   -0.2721   -0.1161   -0.3414   -0.1675   -0.0263   -0.7068   -0.0544   -0.2411    0.2931         1   -2.4294
  8  4.100858559682608E+06    8.999528  3.613619  4.380000  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3109  4.380000   -9.921  1.045548  7.502020  6.5982260E-01  3.2635720E-01  4.5579582E-05  1.2238505E-05  7.1583139E-03  1.3024100E-03  7.0943180E-06  5.9062412E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.012069  0.0000000E+00  0.0000000000E+00       4.252     3.72   -4.2840   -1.8583   -0.9203   -0.2718   -0.1159   -0.3411   -0.1673   -0.0263   -0.7059   -0.0544   -0.2410    0.2928         1   -2.4258
  9  4.653806241129189E+06    8.999460  3.618430  4.379288  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3084  4.379288   -9.907  1.044151  7.502327  6.5156040E-01  3.3464230E-01  4.6627852E-05  1.2520223E-05  7.3154272E-03  1.1220518E-03  6.0883091E-06  5.0805851E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.012203  0.0000000E+00  0.0000000000E+00       4.244     3.75   -4.2961   -1.8738   -0.9193   -0.2716   -0.1158   -0.3408   -0.1671   -0.0262   -0.7051   -0.0543   -0.2408    0.2926         1   -2.4223
