line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   11.999677  3.977491  4.456053  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3676  4.456053   -8.728  0.964380  7.538312  7.1694590E-01  2.6874710E-01  2.4024326E-05  6.5222079E-06  3.8568499E-03  5.0954517E-03  2.4374829E-05  1.7850538E-08  1.8763666E-03  3.0634696E-05  2.082E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.020921  0.0000000E+00  0.0000000000E+00       4.317     3.98   -5.1937   -2.4026   -1.0307   -0.2922   -0.1257   -0.3676   -0.1876   -0.0298   -0.7942   -0.0602   -0.2577    0.3153         1   -2.7912
  2  3.539976279568932E+05   11.999015  3.981376  4.452134  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3651  4.452134   -8.727  0.946015  7.533064  7.0858530E-01  2.7726570E-01  3.0048550E-05  8.1481779E-06  4.9562989E-03  3.8327566E-03  2.0320137E-05  1.3928973E-08  1.8750840E-03  8.3235761E-07  5.793E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.021110  0.0000000E+00  0.0000000000E+00       4.297     4.07   -5.2034   -2.4319   -1.0247   -0.2914   -0.1254   -0.3665   -0.1865   -0.0297   -0.7895   -0.0600   -0.2570    0.3143         1   -2.7715
  3  6.968832227492194E+05   11.998368  3.985738  4.449927  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3620  4.449927   -8.721  0.936295  7.530632  7.0047580E-01  2.8547510E-01  3.4055211E-05  9.2343801E-06  5.6449851E-03  3.0427444E-03  1.6338571E-05  1.1110802E-08  1.8740553E-03  3.8924619E-08  7.365E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.021324  0.0000000E+00  0.0000000000E+00       4.284     4.13   -5.2143   -2.4539   -1.0213   -0.2910   -0.1253   -0.3658   -0.1859   -0.0296   -0.7869   -0.0598   -0.2566    0.3137         1   -2.7605
  4  1.030244217686211E+06   11.997728  3.990317  4.448417  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3600  4.448417   -8.713  0.930235  7.529363  6.9249710E-01  2.9352470E-01  3.6895413E-05  1.0006320E-05  6.1330866E-03  2.4829258E-03  1.3409612E-05  9.0831398E-09  1.8731465E-03  4.7700772E-09  7.983E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.021551  0.0000000E+00  0.0000000000E+00       4.273     4.18   -5.2258   -2.4728   -1.0191   -0.2907   -0.1251   -0.3653   -0.1855   -0.0295   -0.7851   -0.0597   -0.2563    0.3133         1   -2.7529
  5  1.373129812478530E+06   11.997057  3.994991  4.447193  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3570  4.447193   -8.704  0.925698  7.528674  6.8418030E-01  3.0189730E-01  3.9168228E-05  1.0622837E-05  6.5171770E-03  2.0423884E-03  1.1052452E-05  7.4787651E-09  1.8722656E-03  3.0168950E-09  8.118E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.021786  0.0000000E+00  0.0000000000E+00       4.264     4.23   -5.2375   -2.4906   -1.0172   -0.2904   -0.1250   -0.3650   -0.1851   -0.0295   -0.7836   -0.0596   -0.2560    0.3130         1   -2.7469
  6  1.698356799139050E+06   11.996407  3.999730  4.446231  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3549  4.446231   -8.694  0.922575  7.528367  6.7619400E-01  3.0992520E-01  4.1010733E-05  1.1126685E-05  6.8043638E-03  1.7128761E-03  9.1584290E-06  6.2568759E-09  1.8714620E-03  3.1304739E-09  7.988E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.022026  0.0000000E+00  0.0000000000E+00       4.255     4.27   -5.2493   -2.5072   -1.0157   -0.2902   -0.1249   -0.3647   -0.1849   -0.0294   -0.7825   -0.0596   -0.2558    0.3128         1   -2.7421
  7  2.029327119512349E+06   11.995731  4.004582  4.445378  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3521  4.445378   -8.685  0.920178  7.528347  6.6789770E-01  3.1825600E-01  4.2482714E-05  1.1525573E-05  7.0418188E-03  1.4404474E-03  7.6648727E-06  5.2491098E-09  1.8706577E-03  3.3901230E-09  7.737E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.022275  0.0000000E+00  0.0000000000E+00       4.247     4.31   -5.2615   -2.5236   -1.0145   -0.2901   -0.1249   -0.3644   -0.1846   -0.0294   -0.7815   -0.0595   -0.2557    0.3126         1   -2.7379
  8  2.343324602943421E+06   11.995074  4.009151  4.444635  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3493  4.444635   -8.675  0.918341  7.528504  6.5991020E-01  3.2627030E-01  4.3639848E-05  1.1839136E-05  7.2260165E-03  1.2290834E-03  6.5181947E-06  4.4750440E-09  1.8699048E-03  3.6620206E-09  7.433E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.022511  0.0000000E+00  0.0000000000E+00       4.239     4.35   -5.2729   -2.5387   -1.0133   -0.2899   -0.1248   -0.3642   -0.1844   -0.0293   -0.7806   -0.0594   -0.2555    0.3124         1   -2.7342
  9  2.657322086374488E+06   11.994403  4.014002  4.443965  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3472  4.443965   -8.665  0.917068  7.528807  6.5180650E-01  3.3439620E-01  4.4605201E-05  1.2101811E-05  7.3786402E-03  1.0539401E-03  5.5655826E-06  3.8315142E-09  1.8691566E-03  3.9663990E-09  7.103E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.022766  0.0000000E+00  0.0000000000E+00       4.232     4.39   -5.2850   -2.5541   -1.0123   -0.2898   -0.1248   -0.3640   -0.1842   -0.0293   -0.7798   -0.0594   -0.2554    0.3122         1   -2.7309
