line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   99.871230  6.098489  4.721129  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8126  4.721129   -5.227  0.298291  7.657419  7.1695792E-01  2.6876528E-01  3.8175738E-05  1.0494025E-05  3.9997701E-03  4.9232379E-03  8.5692879E-06  1.3912999E-08  1.8756751E-03  9.9555665E-05  3.881E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.334383  0.0000000E+00  0.0000000000E+00       4.176    13.50  -10.4962   -5.8655   -1.2030   -0.3720   -0.1610   -0.4730   -0.2524   -0.0413   -1.0659   -0.0880   -0.3276    0.4042         1   -4.6307
  2  4.210690747818962E+04   99.618225  6.099244  4.716448  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8068  4.716448   -5.216  0.279204  7.651140  7.0967032E-01  2.7622339E-01  4.8784227E-05  1.3406444E-05  5.1869226E-03  3.5509110E-03  6.2987904E-06  1.0075842E-08  1.8731423E-03  4.0056156E-05  1.126E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.335783  0.0000000E+00  0.0000000000E+00       4.156    13.81  -10.4981   -5.8982   -1.2018   -0.3708   -0.1604   -0.4712   -0.2515   -0.0411   -1.0623   -0.0875   -0.3263    0.4026         1   -4.5999
  3  8.459447365899096E+04   99.357470  6.100150  4.713589  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8016  4.713589   -5.209  0.270043  7.648157  7.0239909E-01  2.8360063E-01  5.5334181E-05  1.5205063E-05  5.9206664E-03  2.7027660E-03  4.8337306E-06  7.6826231E-09  1.8711163E-03  1.8572384E-05  1.629E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.337334  0.0000000E+00  0.0000000000E+00       4.142    14.00  -10.5004   -5.9194   -1.2010   -0.3700   -0.1600   -0.4700   -0.2510   -0.0410   -1.0601   -0.0871   -0.3255    0.4017         1   -4.5810
  4  1.270814004578713E+05   99.092280  6.101148  4.711412  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7968  4.711412   -5.202  0.264799  7.646470  6.9511401E-01  2.9095935E-01  5.9882403E-05  1.6454076E-05  6.4287507E-03  2.1154619E-03  3.7990302E-06  6.0187401E-09  1.8693198E-03  9.7069960E-06  2.002E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.338985  0.0000000E+00  0.0000000000E+00       4.131    14.16  -10.5029   -5.9374   -1.2003   -0.3694   -0.1596   -0.4689   -0.2507   -0.0409   -1.0585   -0.0868   -0.3248    0.4007         1   -4.5655
  5  1.688095326802175E+05   98.827868  6.102198  4.709600  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7927  4.709600   -5.195  0.261652  7.645476  6.8791945E-01  2.9820707E-01  6.3185599E-05  1.7361290E-05  6.7955382E-03  1.6914602E-03  3.0434439E-06  4.8147137E-09  1.8676775E-03  5.8147405E-06  2.283E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.340684  0.0000000E+00  0.0000000000E+00       4.122    14.30  -10.5055   -5.9529   -1.1998   -0.3689   -0.1593   -0.4680   -0.2503   -0.0408   -1.0571   -0.0865   -0.3241    0.4000         1   -4.5526
  6  2.105376354693729E+05   98.559678  6.103242  4.707978  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707438E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7884  4.707978   -5.190  0.259708  7.644879  6.8067144E-01  3.0549556E-01  6.5723114E-05  1.8058359E-05  7.0747827E-03  1.3686231E-03  2.4639452E-06  3.8964657E-09  1.8661082E-03  3.9838890E-06  2.503E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.342400  0.0000000E+00  0.0000000000E+00       4.113    14.42  -10.5081   -5.9671   -1.1993   -0.3684   -0.1590   -0.4672   -0.2501   -0.0408   -1.0559   -0.0863   -0.3236    0.3993         1   -4.5410
  7  2.522657234324861E+05   98.287772  6.104274  4.706467  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707440E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  9.416E-29  0.7846  4.706467   -5.184  0.258572  7.644547  6.7336824E-01  3.1283007E-01  6.7715259E-05  1.8605740E-05  7.2915230E-03  1.1180116E-03  2.0121449E-06  3.1829946E-09  1.8645867E-03  3.1049117E-06  2.675E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.344132  0.0000000E+00  0.0000000000E+00       4.105    14.54  -10.5107   -5.9804   -1.1988   -0.3680   -0.1587   -0.4664   -0.2498   -0.0407   -1.0548   -0.0861   -0.3231    0.3986         1   -4.5303
  8  2.928549753358648E+05   98.019592  6.105272  4.705065  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707444E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  3.229E-28  0.7803  4.705065   -5.178  0.258010  7.644404  6.6620114E-01  3.2002129E-01  6.9269423E-05  1.9032922E-05  7.4581234E-03  9.2533814E-04  1.6639206E-06  2.6341291E-09  1.8631348E-03  2.6888029E-06  2.806E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.345842  0.0000000E+00  0.0000000000E+00       4.097    14.65  -10.5132   -5.9928   -1.1984   -0.3676   -0.1584   -0.4657   -0.2496   -0.0406   -1.0538   -0.0859   -0.3226    0.3980         1   -4.5203
  9  3.338244638219869E+05   97.745414  6.106386  4.703658  7.2000000E-01  2.6595590E-01  2.2831524E-03  2.7707450E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.557E-27  0.7766  4.703658   -5.172  0.257892  7.644402  6.5889984E-01  3.2734199E-01  7.0544521E-05  1.9383531E-05  7.5922991E-03  7.7012512E-04  1.3828308E-06  2.1917738E-09  1.8616878E-03  2.4913513E-06  2.908E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.347670  0.0000000E+00  0.0000000000E+00       4.089    14.77  -10.5160   -6.0056   -1.1980   -0.3672   -0.1582   -0.4650   -0.2493   -0.0406   -1.0527   -0.0857   -0.3221    0.3974         1   -4.5104
