line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   39.981525  5.343182  4.649728  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6313  4.649728   -6.298  0.529311  7.617017  7.1692920E-01  2.6878350E-01  3.2486432E-05  8.8972577E-06  3.9497813E-03  4.9868787E-03  1.1810437E-05  1.4935099E-08  1.8759570E-03  7.7885496E-05  3.520E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.145740  0.0000000E+00  0.0000000000E+00       4.249     7.86   -8.6080   -4.5192   -1.1811   -0.3496   -0.1496   -0.4397   -0.2371   -0.0380   -1.0004   -0.0784   -0.3049    0.3761         1   -4.0888
  2  8.522701999880101E+04   39.938261  5.346404  4.645542  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6273  4.645542   -6.291  0.510405  7.611192  7.0853210E-01  2.7735870E-01  4.2193147E-05  1.1553259E-05  5.1921189E-03  3.5539083E-03  8.5868485E-06  1.0732531E-08  1.8737400E-03  1.4908977E-05  1.084E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.146984  0.0000000E+00  0.0000000000E+00       4.228     8.04   -8.6160   -4.5566   -1.1807   -0.3483   -0.1492   -0.4386   -0.2361   -0.0378   -0.9961   -0.0782   -0.3042    0.3752         1   -4.0594
  3  1.714280630833032E+05   39.893682  5.349864  4.643134  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6235  4.643134   -6.282  0.501360  7.608644  7.0011040E-01  2.8589030E-01  4.8064597E-05  1.3159320E-05  5.9511649E-03  2.6785306E-03  6.5452602E-06  8.1160713E-09  1.8719486E-03  3.6308251E-06  1.542E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.148326  0.0000000E+00  0.0000000000E+00       4.215     8.17   -8.6247   -4.5820   -1.1804   -0.3476   -0.1491   -0.4381   -0.2355   -0.0377   -0.9936   -0.0780   -0.3039    0.3748         1   -4.0427
  4  2.576291061678050E+05   39.848245  5.353423  4.641378  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6197  4.641378   -6.274  0.496029  7.607329  6.9163850E-01  2.9443790E-01  5.2120342E-05  1.4268860E-05  6.4718058E-03  2.0780867E-03  5.1042569E-06  6.3071148E-09  1.8703435E-03  1.2284022E-06  1.852E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.149717  0.0000000E+00  0.0000000000E+00       4.203     8.27   -8.6336   -4.6030   -1.1802   -0.3470   -0.1490   -0.4377   -0.2351   -0.0377   -0.9918   -0.0779   -0.3036    0.3744         1   -4.0306
  5  3.409080799952042E+05   39.803506  5.356933  4.639998  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6161  4.639998   -6.266  0.492700  7.606663  6.8337470E-01  3.0275510E-01  5.5017691E-05  1.5061656E-05  6.8396277E-03  1.6538475E-03  4.0697869E-06  5.0231765E-09  1.8688867E-03  6.8552469E-07  2.060E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.151101  0.0000000E+00  0.0000000000E+00       4.194     8.35   -8.6423   -4.6211   -1.1800   -0.3466   -0.1489   -0.4373   -0.2347   -0.0376   -0.9904   -0.0778   -0.3034    0.3741         1   -4.0212
  6  4.244792607483140E+05   39.757751  5.360495  4.638747  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6124  4.638747   -6.257  0.490356  7.606324  6.7498480E-01  3.1118570E-01  5.7469785E-05  1.5734517E-05  7.1195741E-03  1.3305826E-03  3.2453880E-06  4.0387461E-09  1.8674780E-03  5.6430964E-07  2.205E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.152521  0.0000000E+00  0.0000000000E+00       4.185     8.44   -8.6512   -4.6385   -1.1798   -0.3462   -0.1488   -0.4370   -0.2344   -0.0376   -0.9891   -0.0777   -0.3032    0.3739         1   -4.0127
  7  5.080076331868073E+05   39.711132  5.364002  4.637618  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6085  4.637618   -6.249  0.488872  7.606281  6.6648870E-01  3.1971320E-01  5.9069539E-05  1.6171594E-05  7.3365707E-03  1.0804752E-03  2.6468891E-06  3.2770871E-09  1.8661005E-03  5.5662649E-07  2.303E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.153938  0.0000000E+00  0.0000000000E+00       4.176     8.51   -8.6600   -4.6549   -1.1797   -0.3459   -0.1487   -0.4367   -0.2342   -0.0375   -0.9880   -0.0776   -0.3030    0.3737         1   -4.0051
  8  5.881401169940240E+05   39.665548  5.367467  4.636544  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6050  4.636544   -6.241  0.487880  7.606376  6.5822130E-01  3.2800440E-01  6.0474611E-05  1.6557816E-05  7.5002895E-03  8.9146196E-04  2.1735848E-06  2.6994213E-09  1.8647935E-03  5.8118717E-07  2.362E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.155349  0.0000000E+00  0.0000000000E+00       4.168     8.59   -8.6687   -4.6707   -1.1795   -0.3455   -0.1486   -0.4365   -0.2339   -0.0375   -0.9869   -0.0776   -0.3028    0.3734         1   -3.9979
  9  6.689172692109959E+05   39.618725  5.371034  4.635485  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6016  4.635485   -6.233  0.487256  7.606594  6.4977160E-01  3.3647320E-01  6.1672349E-05  1.6887905E-05  7.6316705E-03  7.3966529E-04  1.7928121E-06  2.2366519E-09  1.8634820E-03  6.1734325E-07  2.394E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.156816  0.0000000E+00  0.0000000000E+00       4.160     8.67   -8.6776   -4.6868   -1.1793   -0.3452   -0.1485   -0.4362   -0.2336   -0.0374   -0.9858   -0.0775   -0.3026    0.3732         1   -3.9908
