line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   31.990361  5.125097  4.623051  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5770  4.623051   -6.655  0.597761  7.605534  7.1698020E-01  2.6872800E-01  3.0912686E-05  8.4560739E-06  3.9253025E-03  5.0162474E-03  1.3133236E-05  1.5377360E-08  1.8760476E-03  7.1670099E-05  3.260E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.110239  0.0000000E+00  0.0000000000E+00       4.263     6.92   -8.0627   -4.1735   -1.1763   -0.3410   -0.1476   -0.4326   -0.2301   -0.0368   -0.9709   -0.0765   -0.3002    0.3702         1   -3.8892
  2  1.032744871427905E+05   31.967325  5.128860  4.619103  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5735  4.619103   -6.648  0.579507  7.600018  7.0859970E-01  2.7728430E-01  3.9988655E-05  1.0935852E-05  5.1517759E-03  3.6026653E-03  9.7020274E-06  1.1153065E-08  1.8740035E-03  1.0687768E-05  1.010E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.111278  0.0000000E+00  0.0000000000E+00       4.243     7.07   -8.0722   -4.2101   -1.1752   -0.3397   -0.1473   -0.4315   -0.2291   -0.0367   -0.9668   -0.0762   -0.2995    0.3692         1   -3.8621
  3  2.077384630841774E+05   31.943626  5.132726  4.616836  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5697  4.616836   -6.640  0.570311  7.597531  7.0016130E-01  2.8583210E-01  4.5578715E-05  1.2463374E-05  5.9071404E-03  2.7321733E-03  7.4412606E-06  8.4878455E-09  1.8723434E-03  2.0726155E-06  1.429E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.112357  0.0000000E+00  0.0000000000E+00       4.230     7.18   -8.0818   -4.2352   -1.1745   -0.3390   -0.1470   -0.4308   -0.2285   -0.0366   -0.9645   -0.0760   -0.2990    0.3687         1   -3.8467
  4  3.097902708538285E+05   31.920042  5.136773  4.615229  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5666  4.615229   -6.632  0.564885  7.596267  6.9186570E-01  2.9420210E-01  4.9409279E-05  1.3510174E-05  6.4184137E-03  2.1429450E-03  5.8599074E-06  6.6674270E-09  1.8708874E-03  6.0156699E-07  1.700E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.113492  0.0000000E+00  0.0000000000E+00       4.219     7.27   -8.0919   -4.2560   -1.1740   -0.3386   -0.1469   -0.4304   -0.2282   -0.0365   -0.9629   -0.0759   -0.2987    0.3683         1   -3.8359
  5  4.129651613320992E+05   31.895736  5.140948  4.613917  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5635  4.613917   -6.623  0.561251  7.595604  6.8340270E-01  3.0272020E-01  5.2293600E-05  1.4298551E-05  6.7981101E-03  1.7053075E-03  4.6662033E-06  5.3082106E-09  1.8695059E-03  3.1669739E-07  1.884E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.114676  0.0000000E+00  0.0000000000E+00       4.209     7.35   -8.1024   -4.2752   -1.1736   -0.3382   -0.1468   -0.4300   -0.2278   -0.0365   -0.9616   -0.0758   -0.2985    0.3680         1   -3.8272
  6  5.131536774517492E+05   31.871660  5.144892  4.612805  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5598  4.612805   -6.615  0.558729  7.595313  6.7507510E-01  3.1108870E-01  5.4464346E-05  1.4892379E-05  7.0791144E-03  1.3813676E-03  3.7761315E-06  4.3004352E-09  1.8682122E-03  2.7086716E-07  2.003E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.115809  0.0000000E+00  0.0000000000E+00       4.201     7.42   -8.1122   -4.2923   -1.1732   -0.3378   -0.1467   -0.4297   -0.2276   -0.0364   -0.9604   -0.0757   -0.2982    0.3677         1   -3.8199
  7  6.122481617816667E+05   31.847367  5.149023  4.611792  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5568  4.611792   -6.606  0.557040  7.595276  6.6671600E-01  3.1947930E-01  5.6182889E-05  1.5362443E-05  7.2962797E-03  1.1309567E-03  3.0840514E-06  3.5196666E-09  1.8669581E-03  2.7579715E-07  2.078E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.117005  0.0000000E+00  0.0000000000E+00       4.192     7.49   -8.1226   -4.3093   -1.1729   -0.3375   -0.1466   -0.4294   -0.2273   -0.0364   -0.9594   -0.0756   -0.2980    0.3674         1   -3.8133
  8  7.100780257815232E+05   31.822906  5.153156  4.610853  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5538  4.610853   -6.598  0.555883  7.595410  6.5836170E-01  3.2785820E-01  5.7562024E-05  1.5739827E-05  7.4658116E-03  9.3540998E-04  2.5421540E-06  2.9092502E-09  1.8657360E-03  2.9382360E-07  2.119E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.118215  0.0000000E+00  0.0000000000E+00       4.184     7.56   -8.1329   -4.3257   -1.1726   -0.3372   -0.1465   -0.4291   -0.2271   -0.0363   -0.9585   -0.0756   -0.2979    0.3672         1   -3.8072
  9  8.067677504055332E+05   31.798240  5.157098  4.609940  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5502  4.609940   -6.589  0.554999  7.595647  6.4997210E-01  3.3626730E-01  5.8722374E-05  1.6059027E-05  7.6001690E-03  7.8032821E-04  2.1047231E-06  2.4197014E-09  1.8645313E-03  3.1694736E-07  2.136E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.119385  0.0000000E+00  0.0000000000E+00       4.176     7.62   -8.1427   -4.3415   -1.1723   -0.3370   -0.1464   -0.4288   -0.2269   -0.0363   -0.9576   -0.0755   -0.2977    0.3670         1   -3.8013
